price,type,address,url,added_on,search_datetime,postcode,number_bedrooms
460000.0,3 bed end terrace house for sale,"Hayling Road, South Oxhey, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60284383/,2021-11-28,"05:30PM on November 28, 2021",WD19,3.0
260000.0,2 bed property for sale,"Watford Road, Wembley HA0",https://www.zoopla.co.uk/for-sale/details/60258780/,2021-11-24,"05:24PM on November 26, 2021",HA0,2.0
460000.0,2 bed terraced house for sale,"31 Calvert Road, Barnet, Hertfordshire EN5",https://www.zoopla.co.uk/for-sale/details/60250045/,2021-11-23,"05:30PM on November 28, 2021",EN5,2.0
475000.0,2 bed end terrace house for sale,"Flamborough Road, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/58482890/,2021-11-22,"06:53PM on November 27, 2021",HA4,2.0
475000.0,2 bed end terrace house for sale,"Flamborough Road, Ruislip Manor HA4",https://www.zoopla.co.uk/for-sale/details/60243202/,2021-11-22,"05:25PM on November 26, 2021",HA4,2.0
325000.0,1 bed property for sale,"Hardy Close, Barnet EN5",https://www.zoopla.co.uk/for-sale/details/60241178/,2021-11-22,"05:30PM on November 28, 2021",EN5,1.0
475000.0,2 bed semi-detached house for sale,"Brancaster Drive, London NW7",https://www.zoopla.co.uk/for-sale/details/60238773/,2021-11-21,"10:53PM on November 25, 2021",NW7,2.0
475000.0,3 bed end terrace house for sale,"Townson Avenue, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/60235250/,2021-11-20,"05:24PM on November 26, 2021",UB5,3.0
375000.0,Semi-detached house for sale,"Colindeep Lane, London NW4",https://www.zoopla.co.uk/for-sale/details/60253813/,2021-11-19,"05:25PM on November 26, 2021",NW4,
475000.0,3 bed end terrace house for sale,"Crossway, Pinner HA5",https://www.zoopla.co.uk/for-sale/details/60233872/,2021-11-19,"05:25PM on November 26, 2021",HA5,3.0
325000.0,Semi-detached house for sale,"Colindeep Lane, London NW4",https://www.zoopla.co.uk/for-sale/details/60253812/,2021-11-18,"05:30PM on November 28, 2021",NW4,
450000.0,2 bed cottage for sale,"Lower Road, Harrow HA2",https://www.zoopla.co.uk/for-sale/details/60226100/,2021-11-18,"05:30PM on November 28, 2021",HA2,2.0
450000.0,3 bed terraced house for sale,"Masons Avenue, Harrow HA3",https://www.zoopla.co.uk/for-sale/details/60215692/,2021-11-17,"05:54PM on November 18, 2021",HA3,3.0
475000.0,4 bed end terrace house for sale,"Berkeley Road, Uxbridge UB10",https://www.zoopla.co.uk/for-sale/details/60214783/,2021-11-17,"05:30PM on November 28, 2021",UB10,4.0
475000.0,3 bed semi-detached house for sale,"The Middle Way, Wealdstone, Harrow HA3",https://www.zoopla.co.uk/for-sale/details/60215908/,2021-11-17,"05:54PM on November 18, 2021",HA3,3.0
275000.0,1 bed block of flats for sale,"Edgware, Middlesex HA8",https://www.zoopla.co.uk/for-sale/details/60198671/,2021-11-16,"05:30PM on November 28, 2021",HA8,1.0
395000.0,2 bed terraced house for sale,"Harefield, Uxbridge, Middlesex UB9",https://www.zoopla.co.uk/for-sale/details/60203897/,2021-11-16,"06:53PM on November 27, 2021",UB9,2.0
450000.0,2 bed end terrace house for sale,"Stowe Crescent, Ruislip, Middlesex HA4",https://www.zoopla.co.uk/for-sale/details/60198789/,2021-11-16,"06:53PM on November 27, 2021",HA4,2.0
410000.0,2 bed terraced house for sale,"Abbots Drive, South Harrow, Harrow HA2",https://www.zoopla.co.uk/for-sale/details/60188887/,2021-11-15,"05:30PM on November 28, 2021",HA2,2.0
465000.0,3 bed end terrace house for sale,"Dryfield Road, Edgware HA8",https://www.zoopla.co.uk/for-sale/details/60189012/,2021-11-15,"05:30PM on November 28, 2021",HA8,3.0
475000.0,3 bed semi-detached house for sale,"Rushdene Crescent, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/60188077/,2021-11-14,"05:30PM on November 28, 2021",UB5,3.0
450000.0,2 bed end terrace house for sale,"Corner Mead, Colindale NW9",https://www.zoopla.co.uk/for-sale/details/60185062/,2021-11-13,"05:30PM on November 28, 2021",NW9,2.0
325000.0,3 bed terraced house for sale,"Meadow Close, Barnet EN5",https://www.zoopla.co.uk/for-sale/details/60177616/,2021-11-12,"05:16PM on November 14, 2021",EN5,3.0
450000.0,3 bed terraced house for sale,"Northolt Road, South Harrow, Harrow HA2",https://www.zoopla.co.uk/for-sale/details/60173020/,2021-11-11,"05:30PM on November 28, 2021",HA2,3.0
470000.0,3 bed terraced house for sale,"Milling Road, Edgware HA8",https://www.zoopla.co.uk/for-sale/details/60141748/,2021-11-08,"05:16PM on November 14, 2021",HA8,3.0
405000.0,3 bed terraced house for sale,"Hollowfield Walk, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/60138744/,2021-11-08,"06:53PM on November 27, 2021",UB5,3.0
450000.0,2 bed bungalow for sale,"Beaumont Avenue, Wembley HA0",https://www.zoopla.co.uk/for-sale/details/60135992/,2021-11-06,"05:30PM on November 28, 2021",HA0,2.0
375000.0,2 bed end terrace house for sale,"Nursery Road, Pinner HA5",https://www.zoopla.co.uk/for-sale/details/60124211/,2021-11-05,"05:36PM on November 14, 2021",HA5,2.0
449950.0,2 bed end terrace house for sale,"Ducks Hill Road, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/60121413/,2021-11-04,"05:30PM on November 28, 2021",HA4,2.0
435000.0,3 bed terraced house for sale,"Newnham Close, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/60122008/,2021-11-04,"05:30PM on November 28, 2021",UB5,3.0
475000.0,3 bed terraced house for sale,"Adderley Road, Harrow HA3",https://www.zoopla.co.uk/for-sale/details/60118812/,2021-11-04,"05:36PM on November 14, 2021",HA3,3.0
450000.0,3 bed semi-detached house for sale,"Northwood Way, Harefield, Uxbridge UB9",https://www.zoopla.co.uk/for-sale/details/60116024/,2021-11-04,"05:25PM on November 26, 2021",UB9,3.0
450000.0,2 bed semi-detached house for sale,"Ruislip, Hillingdon HA4",https://www.zoopla.co.uk/for-sale/details/60119200/,2021-11-04,"06:53PM on November 27, 2021",HA4,2.0
465000.0,3 bed terraced house for sale,"Midhurst Gardens, Hillingdon UB10",https://www.zoopla.co.uk/for-sale/details/60085776/,2021-11-01,"05:36PM on November 14, 2021",UB10,3.0
260000.0,2 bed property for sale,"152 Watford Road, Wembley HA0",https://www.zoopla.co.uk/for-sale/details/58254656/,2021-11-01,"05:36PM on November 14, 2021",HA0,2.0
450000.0,3 bed end terrace house for sale,"Blackford Road, Watford, Watford, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60083530/,2021-10-30,"05:30PM on November 28, 2021",WD19,3.0
475000.0,3 bed terraced house for sale,"Tangmere Way, London NW9",https://www.zoopla.co.uk/for-sale/details/60074589/,2021-10-29,"05:16PM on November 14, 2021",NW9,3.0
465000.0,2 bed property for sale,"Lyonsdown Road, New Barnet, Barnet EN5",https://www.zoopla.co.uk/for-sale/details/60075650/,2021-10-29,"06:53PM on November 27, 2021",EN5,2.0
425000.0,2 bed terraced house for sale,"Cordingley Road, Ruislip, Middlesex HA4",https://www.zoopla.co.uk/for-sale/details/57030325/,2021-10-29,"05:30PM on November 28, 2021",HA4,2.0
400000.0,1 bed detached house for sale,"Fenstanton Avenue, North Finchley, London N12",https://www.zoopla.co.uk/for-sale/details/60064609/,2021-10-28,"06:53PM on November 27, 2021",N12,1.0
470000.0,3 bed end terrace house for sale,"Newmarket Avenue, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/60058930/,2021-10-27,"05:30PM on November 28, 2021",UB5,3.0
375000.0,2 bed property for sale,"Breakspear Road North, Harefield, Uxbridge UB9",https://www.zoopla.co.uk/for-sale/details/60056479/,2021-10-27,"05:30PM on November 28, 2021",UB9,2.0
475000.0,3 bed terraced house for sale,"Grosvenor Crescent, Hillingdon UB10",https://www.zoopla.co.uk/for-sale/details/60048237/,2021-10-26,"05:37PM on November 27, 2021",UB10,3.0
400000.0,1 bed semi-detached house for sale,"Fenstanton Avenue, North Finchley N12",https://www.zoopla.co.uk/for-sale/details/52951439/,2021-10-26,"05:16PM on November 14, 2021",N12,1.0
475000.0,3 bed semi-detached house for sale,"Burnley Close, Watford, Watford, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60037982/,2021-10-25,"06:53PM on November 27, 2021",WD19,3.0
400000.0,3 bed terraced house for sale,"Garden City, Edgware, Middlesex HA8",https://www.zoopla.co.uk/for-sale/details/60044100/,2021-10-25,"05:41PM on November 26, 2021",HA8,3.0
475000.0,2 bed semi-detached house for sale,"Victoria Road, New Barnet, Barnet EN4",https://www.zoopla.co.uk/for-sale/details/60036561/,2021-10-25,"05:16PM on November 14, 2021",EN4,2.0
395000.0,2 bed terraced house for sale,"Attlee Road, Hayes UB4",https://www.zoopla.co.uk/for-sale/details/60044182/,2021-10-25,"05:36PM on November 14, 2021",UB4,2.0
425000.0,3 bed terraced house for sale,"Garden City, Edgware, Middlesex HA8",https://www.zoopla.co.uk/for-sale/details/60044100/,2021-10-25,"05:16PM on November 14, 2021",HA8,3.0
375000.0,2 bed semi-detached house for sale,"Burnley Close, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60025819/,2021-10-22,"05:36PM on November 14, 2021",WD19,2.0
300000.0,2 bed terraced house for sale,"Turnberry Court, South Oxhey, Watford WD19",https://www.zoopla.co.uk/for-sale/details/60022851/,2021-10-21,"05:36PM on November 14, 2021",WD19,2.0
300000.0,1 bed block of flats for sale,"Colindale, London NW9",https://www.zoopla.co.uk/for-sale/details/60018302/,2021-10-21,"05:30PM on November 28, 2021",NW9,1.0
470000.0,3 bed end terrace house for sale,"Blenheim Road, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/60007687/,2021-10-20,"05:30PM on November 28, 2021",UB5,3.0
325000.0,1 bed detached house for sale,"Tayfield Close, Ickenham, Uxbridge UB10",https://www.zoopla.co.uk/for-sale/details/60006796/,2021-10-20,"05:30PM on November 28, 2021",UB10,1.0
445000.0,3 bed semi-detached house for sale,"Ash Grove, Harefield, Middlesex UB9",https://www.zoopla.co.uk/for-sale/details/59992470/,2021-10-18,"05:36PM on November 14, 2021",UB9,3.0
400000.0,2 bed terraced house for sale,"The Point, Ruislip, Middlesex HA4",https://www.zoopla.co.uk/for-sale/details/59986607/,2021-10-18,"05:24PM on November 26, 2021",HA4,2.0
390000.0,2 bed terraced house for sale,"Rabournmead Drive, Northolt, Middlesex UB5",https://www.zoopla.co.uk/for-sale/details/60021896/,2021-10-18,"05:25PM on November 26, 2021",UB5,2.0
440000.0,3 bed terraced house for sale,"Grosvenor Crescent, Hillingdon UB10",https://www.zoopla.co.uk/for-sale/details/59959624/,2021-10-14,"05:36PM on November 14, 2021",UB10,3.0
475000.0,3 bed semi-detached house for sale,"Little Oxhey Lane, Watford, Hertfordshire WD19",https://www.zoopla.co.uk/for-sale/details/60210167/,2021-10-14,"05:30PM on November 28, 2021",WD19,3.0
475000.0,3 bed semi-detached house for sale,"Little Oxhey Lane, Watford, Hertfordshire WD19",https://www.zoopla.co.uk/for-sale/details/59964644/,2021-10-14,"05:36PM on November 14, 2021",WD19,3.0
470000.0,2 bed semi-detached house for sale,"Appletree Gardens, New Barnet EN4",https://www.zoopla.co.uk/for-sale/details/58963757/,2021-10-13,"05:16PM on November 14, 2021",EN4,2.0
465000.0,2 bed semi-detached house for sale,"Appletree Gardens, New Barnet EN4",https://www.zoopla.co.uk/for-sale/details/58963757/,2021-10-13,"05:37PM on November 27, 2021",EN4,2.0
295000.0,2 bed property for sale,"Masons Avenue, Harrow HA3",https://www.zoopla.co.uk/for-sale/details/59937138/,2021-10-12,"05:37PM on November 27, 2021",HA3,2.0
385000.0,2 bed semi-detached house for sale,"Church Road, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59932760/,2021-10-11,"05:37PM on November 27, 2021",UB5,2.0
475000.0,3 bed terraced house for sale,"Gonville Crescent, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59930143/,2021-10-11,"06:53PM on November 27, 2021",UB5,3.0
400000.0,2 bed end terrace house for sale,"Dryfield Road, Edgware HA8",https://www.zoopla.co.uk/for-sale/details/59920575/,2021-10-09,"05:37PM on November 27, 2021",HA8,2.0
475000.0,2 bed end terrace house for sale,"West End Lane, Barnet, Hertfordshire EN5",https://www.zoopla.co.uk/for-sale/details/59920469/,2021-10-09,"05:37PM on November 27, 2021",EN5,2.0
430000.0,2 bed semi-detached house for sale,"Graham Road, Harrow HA3",https://www.zoopla.co.uk/for-sale/details/59910495/,2021-10-08,"05:24PM on November 26, 2021",HA3,2.0
475000.0,2 bed semi-detached house for sale,"Beaumont Avenue, Wembley HA0",https://www.zoopla.co.uk/for-sale/details/59901746/,2021-10-07,"06:53PM on November 27, 2021",HA0,2.0
360000.0,1 bed property for sale,"Flemming Avenue, Ruislip Manor, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/59880246/,2021-10-05,"05:30PM on November 28, 2021",HA4,1.0
385000.0,2 bed mews house for sale,"Monterey Close, London NW7",https://www.zoopla.co.uk/for-sale/details/59867659/,2021-10-04,"05:30PM on November 28, 2021",NW7,2.0
370000.0,1 bed end terrace house for sale,"Eagle Drive, Colindale NW9",https://www.zoopla.co.uk/for-sale/details/59851009/,2021-10-01,"05:30PM on November 28, 2021",NW9,1.0
475000.0,4 bed terraced house for sale,"Bannister Close, Greenford UB6",https://www.zoopla.co.uk/for-sale/details/45856315/,2021-09-30,"05:30PM on November 28, 2021",UB6,4.0
389950.0,2 bed end terrace house for sale,"Brancker Road, Queensbury, Harrow HA3",https://www.zoopla.co.uk/for-sale/details/59836813/,2021-09-29,"06:53PM on November 27, 2021",HA3,2.0
475000.0,3 bed end terrace house for sale,"Swan Lane, Whetstone N20",https://www.zoopla.co.uk/for-sale/details/59799217/,2021-09-25,"05:16PM on November 14, 2021",N20,3.0
425000.0,2 bed terraced house for sale,"Wilsmere Drive, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59792225/,2021-09-24,"05:36PM on November 14, 2021",UB5,2.0
459950.0,2 bed end terrace house for sale,"Mulberry Close, Barnet EN4",https://www.zoopla.co.uk/for-sale/details/59784283/,2021-09-23,"05:30PM on November 28, 2021",EN4,2.0
470000.0,2 bed end terrace house for sale,"Bedford Road, Ruislip, Middlesex HA4",https://www.zoopla.co.uk/for-sale/details/59776575/,2021-09-22,"05:31PM on November 14, 2021",HA4,2.0
