price,type,address,url,added_on,search_datetime,postcode,number_bedrooms
387500.0,2 bed property for sale,"New Ash Close, East Finchley, London N2",https://www.zoopla.co.uk/for-sale/details/59743953/,2021-09-19,"05:16PM on November 14, 2021",N2,2.0
400000.0,2 bed terraced house for sale,"Cambrian Green, Snowdon Drive, London NW9",https://www.zoopla.co.uk/for-sale/details/59721438/,2021-09-16,"05:30PM on November 28, 2021",NW9,2.0
425000.0,3 bed semi-detached house for sale,"Spring Close, Harefield, Uxbridge UB9",https://www.zoopla.co.uk/for-sale/details/59707415/,2021-09-15,"05:30PM on November 28, 2021",UB9,3.0
475000.0,3 bed property for sale,"Gervase Road, Burnt Oak, Edgware HA8",https://www.zoopla.co.uk/for-sale/details/59711745/,2021-09-15,"05:30PM on November 28, 2021",HA8,3.0
450000.0,3 bed semi-detached house for sale,"Spring Close, Harefield, Uxbridge UB9",https://www.zoopla.co.uk/for-sale/details/59707415/,2021-09-15,"05:36PM on November 14, 2021",UB9,3.0
400000.0,2 bed block of flats for sale,"Arla Place, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/59703169/,2021-09-14,"05:30PM on November 28, 2021",HA4,2.0
335000.0,1 bed property for sale,"Byewaters, Watford WD18",https://www.zoopla.co.uk/for-sale/details/59638648/,2021-09-07,"05:36PM on November 14, 2021",WD18,1.0
475000.0,2 bed cottage for sale,"West End Lane, Barnet EN5",https://www.zoopla.co.uk/for-sale/details/59632968/,2021-09-06,"05:16PM on November 14, 2021",EN5,2.0
375000.0,2 bed property for sale,"Manor Road, High Barnet, Barnet EN5",https://www.zoopla.co.uk/for-sale/details/59608958/,2021-09-02,"06:53PM on November 27, 2021",EN5,2.0
385000.0,2 bed property for sale,"Squires Court, Abingdon Road, London N3",https://www.zoopla.co.uk/for-sale/details/59592120/,2021-09-01,"05:30PM on November 28, 2021",N3,2.0
475000.0,2 bed terraced house for sale,"Hartland Drive, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/59567766/,2021-08-27,"05:30PM on November 28, 2021",HA4,2.0
475000.0,3 bed property for sale,"Wood End Gardens, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59563374/,2021-08-27,"06:53PM on November 27, 2021",UB5,3.0
475000.0,3 bed end terrace house for sale,"Gervase Road, Edgware HA8",https://www.zoopla.co.uk/for-sale/details/59710702/,2021-08-26,"05:30PM on November 28, 2021",HA8,3.0
475000.0,2 bed terraced house for sale,"Arncliffe Close, London N11",https://www.zoopla.co.uk/for-sale/details/59545409/,2021-08-25,"05:30PM on November 28, 2021",N11,2.0
460000.0,3 bed terraced house for sale,"Greystoke Drive, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/59524099/,2021-08-23,"05:31PM on November 14, 2021",HA4,3.0
325000.0,2 bed block of flats for sale,"East Croft House, Harrow HA2",https://www.zoopla.co.uk/for-sale/details/59451907/,2021-08-13,"05:36PM on November 14, 2021",HA2,2.0
315000.0,2 bed block of flats for sale,"East Croft House, Harrow HA2",https://www.zoopla.co.uk/for-sale/details/59451907/,2021-08-13,"05:30PM on November 28, 2021",HA2,2.0
450000.0,3 bed terraced house for sale,"Hartington Close, Sudbury Hill, Harrow HA1",https://www.zoopla.co.uk/for-sale/details/59436420/,2021-08-12,"05:36PM on November 14, 2021",HA1,3.0
,2 bed mobile/park home for sale,"Brookside Caravans, Eastbury Road, Watford WD19",https://www.zoopla.co.uk/for-sale/details/59437042/,2021-08-12,"05:37PM on November 27, 2021",WD19,2.0
425000.0,2 bed property for sale,"Hall Street, London N12",https://www.zoopla.co.uk/for-sale/details/56252563/,2021-08-10,"05:24PM on November 26, 2021",N12,2.0
335000.0,1 bed property for sale,"Rabournmead Drive, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59422676/,2021-08-10,"05:30PM on November 28, 2021",UB5,1.0
280000.0,2 bed property for sale,"152 Watford Road, Wembley, Greater London HA0",https://www.zoopla.co.uk/for-sale/details/59413157/,2021-08-09,"05:30PM on November 28, 2021",HA0,2.0
450000.0,3 bed end terrace house for sale,"Wyevale Close, Pinner HA5",https://www.zoopla.co.uk/for-sale/details/59381775/,2021-08-05,"05:30PM on November 28, 2021",HA5,3.0
475000.0,3 bed end terrace house for sale,"Wyevale Close, Pinner HA5",https://www.zoopla.co.uk/for-sale/details/59381775/,2021-08-05,"05:45PM on November 26, 2021",HA5,3.0
475000.0,3 bed terraced house for sale,"Ribblesdale Avenue, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59359932/,2021-08-03,"06:53PM on November 27, 2021",UB5,3.0
425000.0,2 bed terraced house for sale,"Thirlmere Gardens, Northwood, Greater London HA6",https://www.zoopla.co.uk/for-sale/details/59299615/,2021-07-27,"05:30PM on November 28, 2021",HA6,2.0
465000.0,3 bed terraced house for sale,"Goldbeaters Grove, Edgware HA8",https://www.zoopla.co.uk/for-sale/details/59289862/,2021-07-27,"05:16PM on November 14, 2021",HA8,3.0
390000.0,3 bed semi-detached house for sale,"Blackford Road, Watford WD19",https://www.zoopla.co.uk/for-sale/details/59279676/,2021-07-26,"05:30PM on November 28, 2021",WD19,3.0
424950.0,2 bed terraced house for sale,"Edrick Walk, Edgware HA8",https://www.zoopla.co.uk/for-sale/details/59267173/,2021-07-23,"05:30PM on November 28, 2021",HA8,2.0
420000.0,2 bed terraced house for sale,"Kingsmead Drive, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59263166/,2021-07-23,"05:30PM on November 28, 2021",UB5,2.0
270000.0,1 bed property for sale,"Myrtleside Close, Northwood HA6",https://www.zoopla.co.uk/for-sale/details/59241956/,2021-07-21,"05:30PM on November 28, 2021",HA6,1.0
450000.0,2 bed terraced house for sale,"Amber Grove, Temple Fortune, London NW2",https://www.zoopla.co.uk/for-sale/details/59239474/,2021-07-21,"05:16PM on November 14, 2021",NW2,2.0
432450.0,3 bed terraced house for sale,"Berkeley Avenue, Greenford UB6",https://www.zoopla.co.uk/for-sale/details/59248435/,2021-07-21,"06:53PM on November 27, 2021",UB6,3.0
425000.0,Property for sale,"Dersingham Road, London NW2",https://www.zoopla.co.uk/new-homes/details/59238567/,2021-07-20,"05:30PM on November 28, 2021",NW2,
300000.0,2 bed block of flats for sale,"East Croft House, Harrow HA2",https://www.zoopla.co.uk/for-sale/details/59205167/,2021-07-16,"05:30PM on November 28, 2021",HA2,2.0
475000.0,3 bed end terrace house for sale,"Edgware, Middlesex HA8",https://www.zoopla.co.uk/for-sale/details/59191071/,2021-07-15,"05:30PM on November 28, 2021",HA8,3.0
475000.0,3 bed end terrace house for sale,"Gervase Road, Burnt Oak HA8",https://www.zoopla.co.uk/for-sale/details/59191071/,2021-07-15,"05:16PM on November 14, 2021",HA8,3.0
475000.0,3 bed end terrace house for sale,"Swan Lane, Whetstone, London N20",https://www.zoopla.co.uk/for-sale/details/59195347/,2021-07-15,"05:16PM on November 14, 2021",N20,3.0
450000.0,2 bed terraced house for sale,"Reading Road, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/59173587/,2021-07-13,"05:30PM on November 28, 2021",UB5,2.0
350000.0,2 bed property for sale,"Milford Gardens, Wembley HA0",https://www.zoopla.co.uk/for-sale/details/59162668/,2021-07-12,"06:53PM on November 27, 2021",HA0,2.0
450000.0,4 bed town house for sale,"Uxbridge UB9,",https://www.zoopla.co.uk/for-sale/details/59145492/,2021-07-09,"06:53PM on November 27, 2021",UB9,4.0
450000.0,2 bed semi-detached house for sale,"Breakspear Road, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/59109724/,2021-07-06,"05:30PM on November 28, 2021",HA4,2.0
475000.0,2 bed terraced house for sale,"Runbury Circle, London NW9",https://www.zoopla.co.uk/for-sale/details/59039262/,2021-06-29,"06:53PM on November 27, 2021",NW9,2.0
385000.0,2 bed terraced house for sale,"Monterey Close, London NW7",https://www.zoopla.co.uk/for-sale/details/59022359/,2021-06-28,"05:25PM on November 26, 2021",NW7,2.0
385000.0,3 bed semi-detached house for sale,"Culverden Road, Watford WD19",https://www.zoopla.co.uk/for-sale/details/58957171/,2021-06-21,"05:36PM on November 14, 2021",WD19,3.0
385000.0,2 bed property for sale,"Glenshee Close, Northwood HA6",https://www.zoopla.co.uk/for-sale/details/58931010/,2021-06-17,"05:25PM on November 26, 2021",HA6,2.0
400000.0,3 bed terraced house for sale,"Knightswood Close, Edgware HA8",https://www.zoopla.co.uk/for-sale/details/58918711/,2021-06-16,"06:53PM on November 27, 2021",HA8,3.0
425000.0,2 bed end terrace house for sale,"Boleyn Way, Barnet, Hertfordshire EN5",https://www.zoopla.co.uk/for-sale/details/52058970/,2021-06-09,"05:30PM on November 28, 2021",EN5,2.0
425000.0,2 bed terraced house for sale,"Talgarth Walk, Kingsbury NW9",https://www.zoopla.co.uk/for-sale/details/58733012/,2021-05-27,"05:30PM on November 28, 2021",NW9,2.0
325000.0,1 bed property for sale,"Josiah Drive, Ickenham, Uxbridge, Greater London UB10",https://www.zoopla.co.uk/for-sale/details/58725687/,2021-05-26,"06:53PM on November 27, 2021",UB10,1.0
425000.0,3 bed end terrace house for sale,"Nursery Road, Pinner HA5",https://www.zoopla.co.uk/for-sale/details/52116025/,2021-05-25,"05:36PM on November 14, 2021",HA5,3.0
475000.0,3 bed terraced house for sale,"Exmouth Road, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/58680382/,2021-05-21,"05:24PM on November 26, 2021",HA4,3.0
425000.0,2 bed property for sale,"Biggs Court, 1 Harvey Close, Colindale NW9",https://www.zoopla.co.uk/for-sale/details/58660209/,2021-05-19,"06:53PM on November 27, 2021",NW9,2.0
320000.0,2 bed property for sale,"Livingstone Court, Christchurch Lane, Hadley Green EN5",https://www.zoopla.co.uk/for-sale/details/58627939/,2021-05-17,"06:53PM on November 27, 2021",EN5,2.0
399000.0,3 bed property for sale,"Western Parade, Long Lane, Hillingdon, Uxbridge UB10",https://www.zoopla.co.uk/for-sale/details/58587952/,2021-05-12,"05:36PM on November 14, 2021",UB10,3.0
399950.0,Property for sale,"Birnbeck Court, Finchley Road, London NW11",https://www.zoopla.co.uk/for-sale/details/58446144/,2021-04-29,"05:30PM on November 28, 2021",NW11,
450000.0,2 bed terraced house for sale,"Longman Close, Watford, Hertfordshire, Hertfordshire WD18",https://www.zoopla.co.uk/for-sale/details/58390260/,2021-04-23,"05:30PM on November 28, 2021",WD18,2.0
425000.0,2 bed terraced house for sale,"Greenford Road, Greenford HA1",https://www.zoopla.co.uk/for-sale/details/58322624/,2021-04-17,"05:30PM on November 28, 2021",HA1,2.0
339000.0,1 bed property for sale,"Watford Road, Northwood HA6",https://www.zoopla.co.uk/for-sale/details/58292596/,2021-04-14,"06:53PM on November 27, 2021",HA6,1.0
475000.0,3 bed terraced house for sale,"Lancaster Road, Northolt UB5",https://www.zoopla.co.uk/for-sale/details/56202860/,2021-04-12,"05:30PM on November 28, 2021",UB5,3.0
460000.0,2 bed terraced house for sale,"Bennett Close, Northwood HA6",https://www.zoopla.co.uk/for-sale/details/57660569/,2021-02-11,"05:31PM on November 14, 2021",HA6,2.0
460000.0,3 bed terraced house for sale,"Mostyn Road, Edgware, Greater London HA8",https://www.zoopla.co.uk/for-sale/details/57504622/,2021-01-25,"05:30PM on November 28, 2021",HA8,3.0
465000.0,2 bed end terrace house for sale,"Carmichael Close, Ruislip Gardens HA4",https://www.zoopla.co.uk/for-sale/details/57007313/,2020-11-21,"05:31PM on November 14, 2021",HA4,2.0
275000.0,1 bed property for sale,"Northwick Park Road, Harrow HA1",https://www.zoopla.co.uk/new-homes/details/56969269/,2020-11-17,"05:24PM on November 26, 2021",HA1,1.0
290000.0,1 bed terraced house for sale,"Bayshill Rise, Northolt, Middlesex UB5",https://www.zoopla.co.uk/for-sale/details/59065576/,2020-11-09,"05:30PM on November 28, 2021",UB5,1.0
325000.0,1 bed end terrace house for sale,"Winston House, 1A High Road, Ickenham, Uxbridge UB10",https://www.zoopla.co.uk/for-sale/details/59065542/,2020-11-09,"06:53PM on November 27, 2021",UB10,1.0
475000.0,3 bed terraced house for sale,"Bideford Road, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/56734401/,2020-10-27,"05:30PM on November 28, 2021",HA4,3.0
475000.0,2 bed terraced house for sale,"Bedser Drive, Greenford UB6",https://www.zoopla.co.uk/for-sale/details/56231249/,2020-09-14,"05:25PM on November 26, 2021",UB6,2.0
250000.0,2 bed property for sale,"Lychgate Court, 34 Friern Park, North Finchley N12",https://www.zoopla.co.uk/for-sale/details/56090604/,2020-09-01,"05:30PM on November 28, 2021",N12,2.0
299950.0,2 bed property for sale,"Farnham Close, London N20",https://www.zoopla.co.uk/for-sale/details/56042138/,2020-08-27,"05:30PM on November 28, 2021",N20,2.0
375000.0,2 bed property for sale,"Finchley Road, London NW11",https://www.zoopla.co.uk/for-sale/details/55970503/,2020-08-21,"05:30PM on November 28, 2021",NW11,2.0
475000.0,2 bed terraced house for sale,"Caulfield Gardens, Pinner, Middlesex HA5",https://www.zoopla.co.uk/for-sale/details/55971265/,2020-08-21,"05:30PM on November 28, 2021",HA5,2.0
300000.0,2 bed property for sale,"Livingstone Court, Christchurch Lane, Hadley Green EN5",https://www.zoopla.co.uk/for-sale/details/55070071/,2020-06-03,"05:30PM on November 28, 2021",EN5,2.0
399950.0,2 bed property for sale,"850 Finchley Road, Temple Fortune NW11",https://www.zoopla.co.uk/for-sale/details/54470614/,2020-03-05,"05:30PM on November 28, 2021",NW11,2.0
399000.0,1 bed property for sale,"Hindes Road, Harrow-On-The-Hill, Harrow HA1",https://www.zoopla.co.uk/new-homes/details/53756777/,2019-12-19,"05:31PM on November 14, 2021",HA1,1.0
389950.0,1 bed property for sale,"Northwick Park Road, Harrow-On-The-Hill, Harrow HA1",https://www.zoopla.co.uk/new-homes/details/53756694/,2019-12-19,"05:31PM on November 14, 2021",HA1,1.0
335000.0,2 bed property for sale,"Masters Court, Wood Lane, Ruislip HA4",https://www.zoopla.co.uk/for-sale/details/56960861/,2019-09-18,"05:30PM on November 28, 2021",HA4,2.0
260000.0,Property for sale,"Scout Way, London NW7",https://www.zoopla.co.uk/for-sale/details/51456937/,2019-05-16,"05:24PM on November 26, 2021",NW7,
290000.0,Property for sale,"Plot Hale Court, Hale Lane, Edgware HA8",https://www.zoopla.co.uk/new-homes/details/53924631/,2019-02-06,"05:24PM on November 26, 2021",HA8,
,3 bed semi-detached house for sale,"Kingshill Avenue, Northolt, Middlesex UB5",https://www.zoopla.co.uk/for-sale/details/50304298/,2019-01-28,"05:36PM on November 14, 2021",UB5,3.0
